DATAFLOW,freq,thickness,unit,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SI,2018,14.5,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SI,2019,11.6,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SI,2020,10.8,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SI,2021,12.9,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SK,2018,16.7,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SK,2019,13.2,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SK,2020,16.4,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SK,2021,10.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,BE,2021,1.7,e
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,CY,2020,0.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,DE,2019,2.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,DE,2020,1.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,DE,2021,1.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,EL,2018,8.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,EL,2019,21.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,ES,2018,11.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,ES,2019,24.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,ES,2020,37.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,ES,2021,68.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HR,2020,2.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HR,2021,6.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HU,2018,4.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HU,2019,3.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HU,2020,3.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HU,2021,4.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,LV,2019,1.5,e
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,LV,2020,1.2,e
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,LV,2021,10.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,PL,2019,16.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,PL,2020,32.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,PL,2021,32.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,PT,2021,13.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,RO,2018,1.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,RO,2019,2.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SE,2018,6.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SE,2019,3.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SE,2020,2.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SE,2021,0.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SI,2018,5.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SI,2019,3.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SI,2020,1.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SI,2021,1.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SK,2018,7.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SK,2019,6.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SK,2020,3.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SK,2021,3.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,AT,2018,40.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,AT,2019,29.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,AT,2020,25.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,BE,2018,9.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,BE,2019,6.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,BE,2020,2.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,BE,2021,1.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CY,2018,96.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CY,2019,90.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CY,2020,89.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CY,2021,92.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CZ,2018,185.4,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CZ,2019,235.2,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CZ,2020,242.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CZ,2021,180.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,DE,2018,45.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,DE,2019,43.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,DE,2020,36.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,DE,2021,33.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,EE,2018,121.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,EE,2019,99.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,EL,2018,51.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,EL,2019,68.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,ES,2018,96.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,ES,2019,99.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,ES,2020,127.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,ES,2021,102.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,FI,2018,90.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,FI,2019,87.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,FI,2020,73.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,FI,2021,73.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,FR,2020,49.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,HR,2020,71.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,HR,2021,81.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,HU,2018,20.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,HU,2019,20.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,HU,2020,34.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,HU,2021,65.7,b
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,IE,2018,47.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,IE,2019,46.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,IE,2020,46.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,IE,2021,45.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LT,2018,269.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LT,2019,279.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LT,2020,249.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LT,2021,227.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LU,2018,74.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LU,2019,40.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LU,2020,5.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LU,2021,3.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LV,2018,245.3,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LV,2019,213.3,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LV,2020,171.9,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,LV,2021,155.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SE,2018,76.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SE,2019,75.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SE,2020,48.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SE,2021,2.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SI,2018,64.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SI,2019,61.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SI,2020,62.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SI,2021,68.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SK,2018,112.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SK,2019,91.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SK,2020,76.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,SK,2021,69.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,AT,2018,51.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,AT,2019,37.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,AT,2020,25.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,AT,2021,24.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,BE,2018,28.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,BE,2019,17.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,BE,2020,9.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,BE,2021,5.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,BG,2018,180.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,BG,2019,198.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,CY,2018,234.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,CY,2019,154.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,CY,2020,161.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,CY,2021,166.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,CZ,2018,202.6,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,CZ,2019,247.4,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,CZ,2020,251.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,CZ,2021,189.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,DE,2018,57.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,DE,2019,54.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,DE,2020,44.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,DE,2021,38.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,EE,2018,179.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,EE,2019,152.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,EL,2018,111.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,EL,2019,113.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,ES,2018,186.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,ES,2019,151.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,ES,2020,186.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,ES,2021,131.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,EU27_2020,2018,94.4,s
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,EU27_2020,2019,92.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,EU27_2020,2020,87.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,EU27_2020,2021,76.6,s
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,FI,2018,156.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,FI,2019,147.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,FI,2020,126.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,FI,2021,127.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,FR,2018,104.2,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,FR,2019,103.9,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,FR,2020,70.2,b
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,HR,2018,52.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,HR,2019,94.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,HR,2020,90.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,HR,2021,107.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,HU,2018,110.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,HU,2019,86.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,HU,2020,90.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,HU,2021,140.3,b
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,IE,2018,53.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,IE,2019,51.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,IE,2020,49.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,IE,2021,48.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,IS,2021,44.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,IT,2018,92.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,IT,2019,111.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,IT,2020,111.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,IT,2021,127.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LT,2018,322.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LT,2019,331.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LT,2020,293.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LT,2021,270.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LU,2018,110.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LU,2019,62.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LU,2020,26.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LU,2021,24.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LV,2018,327.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LV,2019,284.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LV,2020,229.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,LV,2021,203.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,NO,2018,146.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,NO,2019,139.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,NO,2020,201.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,NO,2021,238.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,PL,2018,23.4,s
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,PL,2019,23.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,PL,2020,19.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,PL,2021,19.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,PT,2018,7.7,s
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,PT,2019,7.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,PT,2020,17.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,PT,2021,8.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,RO,2018,86.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,RO,2019,95.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SE,2018,153.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SE,2019,149.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SE,2020,102.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SE,2021,15.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SI,2018,79.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SI,2019,72.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SI,2020,73.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SI,2021,81.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SK,2018,128.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SK,2019,104.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SK,2020,92.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT50,NR_HAB,SK,2021,79.8,
