,unit,year,value,value_name,location_name,location_type
452,%,2012,38.2,Recycling rate,Ireland,country
453,%,2013,34.8,Recycling rate,Ireland,country
454,%,2014,31.3,Recycling rate,Ireland,country
455,%,2015,29.7,Recycling rate,Ireland,country
456,%,2016,31.2,Recycling rate,Ireland,country
457,%,2017,30.5,Recycling rate,Ireland,country
458,%,2018,27.1,Recycling rate,Ireland,country
459,%,2019,27.5,Recycling rate,Ireland,country
460,%,2020,29.0,Recycling rate,Ireland,country
461,%,2021,27.9,Recycling rate,Ireland,country
462,%,2012,40.9,Recycling rate,Iceland,country
463,%,2013,26.5,Recycling rate,Iceland,country
464,%,2014,26.8,Recycling rate,Iceland,country
465,%,2015,37.0,Recycling rate,Iceland,country
466,%,2016,41.5,Recycling rate,Iceland,country
467,%,2017,28.9,Recycling rate,Iceland,country
468,%,2018,29.3,Recycling rate,Iceland,country
469,%,2019,24.0,Recycling rate,Iceland,country
470,%,2020,30.8,Recycling rate,Iceland,country
471,%,2021,27.6,Recycling rate,Iceland,country
472,%,2012,37.5,Recycling rate,Italy,country
473,%,2013,36.8,Recycling rate,Italy,country
474,%,2014,38.0,Recycling rate,Italy,country
475,%,2015,41.1,Recycling rate,Italy,country
476,%,2016,42.4,Recycling rate,Italy,country
477,%,2017,41.8,Recycling rate,Italy,country
478,%,2018,43.4,Recycling rate,Italy,country
479,%,2019,44.7,Recycling rate,Italy,country
480,%,2020,51.2,Recycling rate,Italy,country
481,%,2021,54.8,Recycling rate,Italy,country
482,%,2012,7.0,Recycling rate,Liechtenstein,country
483,%,2013,6.6,Recycling rate,Liechtenstein,country
484,%,2014,6.8,Recycling rate,Liechtenstein,country
485,%,2015,16.9,Recycling rate,Liechtenstein,country
486,%,2016,20.9,Recycling rate,Liechtenstein,country
487,%,2017,18.3,Recycling rate,Liechtenstein,country
488,%,2018,21.4,Recycling rate,Liechtenstein,country
489,%,2019,26.5,Recycling rate,Liechtenstein,country
490,%,2020,30.2,Recycling rate,Liechtenstein,country
491,%,2021,31.4,Recycling rate,Liechtenstein,country
492,%,2012,38.9,Recycling rate,Lithuania,country
493,%,2013,42.9,Recycling rate,Lithuania,country
494,%,2014,51.2,Recycling rate,Lithuania,country
495,%,2015,54.8,Recycling rate,Lithuania,country
496,%,2016,74.4,Recycling rate,Lithuania,country
497,%,2017,71.5,Recycling rate,Lithuania,country
498,%,2018,69.3,Recycling rate,Lithuania,country
499,%,2019,69.6,Recycling rate,Lithuania,country
500,%,2020,56.1,Recycling rate,Lithuania,country
501,%,2012,36.7,Recycling rate,Luxembourg,country
502,%,2013,32.2,Recycling rate,Luxembourg,country
503,%,2014,32.3,Recycling rate,Luxembourg,country
504,%,2015,32.7,Recycling rate,Luxembourg,country
505,%,2016,31.9,Recycling rate,Luxembourg,country
506,%,2017,33.1,Recycling rate,Luxembourg,country
507,%,2018,32.3,Recycling rate,Luxembourg,country
508,%,2019,33.4,Recycling rate,Luxembourg,country
509,%,2020,34.7,Recycling rate,Luxembourg,country
510,%,2021,39.5,Recycling rate,Luxembourg,country
511,%,2012,24.0,Recycling rate,Latvia,country
512,%,2013,24.5,Recycling rate,Latvia,country
513,%,2014,36.4,Recycling rate,Latvia,country
514,%,2015,35.3,Recycling rate,Latvia,country
515,%,2016,37.2,Recycling rate,Latvia,country
516,%,2017,36.6,Recycling rate,Latvia,country
517,%,2018,35.8,Recycling rate,Latvia,country
518,%,2019,35.4,Recycling rate,Latvia,country
519,%,2020,35.9,Recycling rate,Latvia,country
520,%,2021,41.6,Recycling rate,Latvia,country
521,%,2012,32.8,Recycling rate,Malta,country
522,%,2013,22.6,Recycling rate,Malta,country
523,%,2014,32.9,Recycling rate,Malta,country
524,%,2015,28.6,Recycling rate,Malta,country
525,%,2016,23.5,Recycling rate,Malta,country
526,%,2017,19.2,Recycling rate,Malta,country
527,%,2018,11.1,Recycling rate,Malta,country
528,%,2019,15.4,Recycling rate,Malta,country
529,%,2020,10.2,Recycling rate,Malta,country
530,%,2021,20.5,Recycling rate,Malta,country
531,%,2012,47.7,Recycling rate,Netherlands,country
532,%,2013,46.6,Recycling rate,Netherlands,country
533,%,2014,50.6,Recycling rate,Netherlands,country
534,%,2015,49.8,Recycling rate,Netherlands,country
535,%,2016,51.5,Recycling rate,Netherlands,country
536,%,2017,50.4,Recycling rate,Netherlands,country
537,%,2018,52.0,Recycling rate,Netherlands,country
538,%,2019,57.2,Recycling rate,Netherlands,country
539,%,2020,49.2,Recycling rate,Netherlands,country
540,%,2021,48.9,Recycling rate,Netherlands,country
541,%,2012,38.1,Recycling rate,Norway,country
542,%,2013,38.8,Recycling rate,Norway,country
543,%,2014,36.1,Recycling rate,Norway,country
544,%,2015,37.1,Recycling rate,Norway,country
545,%,2016,39.3,Recycling rate,Norway,country
546,%,2017,36.9,Recycling rate,Norway,country
547,%,2018,36.3,Recycling rate,Norway,country
548,%,2019,33.2,Recycling rate,Norway,country
549,%,2020,27.9,Recycling rate,Norway,country
550,%,2012,21.9,Recycling rate,Poland,country
551,%,2013,19.7,Recycling rate,Poland,country
552,%,2014,28.3,Recycling rate,Poland,country
553,%,2015,30.8,Recycling rate,Poland,country
