DATAFLOW,freq,unit,hazard,wst_oper,waste_cat,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2016,1056183.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2018,945280.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2020,1040575.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2004,93137.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2006,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2008,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2010,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2012,2701.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2014,3293.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2016,4109.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2018,4386.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2020,939.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2004,477.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2006,40.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2008,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2010,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2012,38.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2014,20.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2016,59.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2018,43.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2020,4.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2004,27.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2006,13404.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2008,4449.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2010,3772.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2012,3170.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2014,2937.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2016,4649.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2018,3845.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2020,3478.0,p
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ES,2004,124295.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ES,2006,93668.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ES,2008,10425.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ES,2010,18465.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ES,2012,6.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ES,2014,354.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ES,2016,636.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ES,2018,65778.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ES,2020,52864.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU27_2020,2004,3370000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU27_2020,2006,4390000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU27_2020,2008,4460000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU27_2020,2010,4160000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU27_2020,2012,4400000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU27_2020,2014,4530000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU27_2020,2016,4250000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU27_2020,2018,4690000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU27_2020,2020,4350000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU28,2004,3490000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU28,2006,4830000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU28,2008,4890000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU28,2010,4430000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU28,2012,4640000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU28,2014,4770000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU28,2016,4550000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EU28,2018,4980000.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FI,2004,93676.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FI,2006,79679.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FI,2008,112686.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FI,2010,141509.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FI,2012,107476.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FI,2014,149463.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FI,2016,42460.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FI,2018,84304.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FI,2020,104023.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FR,2004,37000.0,s
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FR,2006,1220900.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FR,2008,1228645.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FR,2010,1306167.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FR,2012,1422701.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FR,2014,1520287.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FR,2016,1514417.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FR,2018,1778037.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,FR,2020,1691252.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HR,2004,41.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HR,2006,47133.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HR,2008,402.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HR,2010,4573.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HR,2012,45.0,b
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HR,2014,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HR,2016,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HR,2018,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HR,2020,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HU,2004,49226.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HU,2006,66784.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HU,2008,59036.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HU,2010,69452.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HU,2012,76829.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HU,2014,81181.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HU,2016,74222.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HU,2018,75073.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,HU,2020,78516.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IE,2004,37303.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IE,2006,35121.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IE,2008,20897.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IE,2010,19676.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IE,2012,13386.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IE,2014,13121.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IE,2016,7488.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IE,2018,6846.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IE,2020,9551.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IS,2004,4500.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IS,2008,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IS,2010,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IS,2012,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IS,2014,732.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IS,2016,1352.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IS,2018,1277.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IS,2020,1554.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IT,2004,539697.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IT,2006,506582.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IT,2008,448750.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IT,2010,382719.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IT,2012,393680.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IT,2014,407142.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IT,2016,374739.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IT,2018,424890.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,IT,2020,383737.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LT,2004,1866.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LT,2006,3070.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LT,2008,693.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LT,2010,1480.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LT,2012,1019.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LT,2014,1932.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LT,2016,617.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LT,2018,727.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LT,2020,1970.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LU,2004,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LU,2006,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LU,2008,,c
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LU,2010,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LU,2012,11.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LU,2014,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LU,2016,11.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LU,2018,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LU,2020,7.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LV,2004,322.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LV,2006,940.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LV,2008,311.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LV,2010,212.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LV,2012,15.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LV,2014,11.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LV,2016,9.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LV,2018,154.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,LV,2020,8.0,
